Table_name;code:  BRANCHE07;code: tid;code: TAL
;642020 Ikke-finansielle holdingselskaber;;
;642030 Gennemløbsholdingselskaber;;
;643010 Investeringsforeninger;;
;643020 Pengemarkedsforeninger;;
;643030 Investeringsselskaber;;
;643040 Ventureselskaber og kapitalfonde;;
;649100 Finansiel leasing;;
;649210 Realkreditinstitutter;;
;649220 Andre kreditinstitutter;;
;649230 Andre kreditselskaber;;
;649240 FVC-selskaber;;
;649900 Anden finansiel formidling undtagen forsikring og pensionsforsikring, i.a.n.;;
;651100 Livsforsikring;;
;651200 Anden forsikring;;
;652000 Genforsikring;;
;653010 Pensionskasser;;
;653020 Anden pensionsforsikring;;
;661100 Forvaltning af kapitalmarkeder;;
;661200 Værdipapir- og varemægling;;
;661900 Andre hjælpetjenester i forbindelse med finansiel formidling;;
;662100 Risiko- og skadesvurdering;;
;662200 Forsikringsagenters og forsikringsmægleres virksomhed;;
;662900 Andre hjælpetjenester i forbindelse med forsikring og pensionsforsikring;;
;663000 Formueforvaltning;;
;681000 Køb og salg af egen fast ejendom;;
;682010 Almennyttige boligselskaber;;
;682020 Private andelsboligforeninger;;
;682030 Anden udlejning af boliger;;
;682040 Udlejning af erhvervsejendomme;;
;683110 Ejendomsmæglere mv.;;
;683120 Boliganvisning, ferieboligudlejning mv.;;
;683210 Administration af fast ejendom på kontraktbasis;;
;683220 Ejerforeninger;;
;691000 Juridisk bistand;;
;692000 Bogføring og revision, skatterådgivning;;
;701010 Ikke-finansielle hovedsæders virksomhed;;
;701020 Finansielle hovedsæders virksomhed;;
;702100 Public relations og kommunikation;;
;702200 Virksomhedsrådgivning og anden rådgivning om driftsledelse;;
;711100 Arkitektvirksomhed;;
;711210 Rådgivende ingeniørvirksomhed inden for byggeri og anlægsarbejder;;
;711220 Rådgivende ingeniørvirksomhed inden for produktions- og maskinteknik;;
;711230 Opstilling og levering af færdige fabriksanlæg;;
;711240 Geologiske undersøgelser og prospektering, landinspektører mv.;;
;711290 Anden teknisk rådgivning;;
;712010 Kontrol af levnedsmidler;;
;712020 Teknisk afprøvning og kontrol;;
;712090 Anden måling og teknisk analyse;;
;721100 Forskning og eksperimentel udvikling indenfor bioteknologi;;
;721900 Anden forskning og eksperimentel udvikling inden for naturvidenskab og teknik;;
;722000 Forskning og eksperimentel udvikling inden for samfundsvidenskab og humanistiske videnskaber;;
;731110 Reklamebureauer;;
;731190 Anden reklamevirksomhed;;
;731200 Reklameplads i medier;;
;732000 Markedsanalyse og offentlig meningsmåling;;
;741010 Industriel design og produktdesign;;
;741020 Kommunikationsdesign og grafisk design;;
;741030 Indretningsarkitekter og rumdesign;;
;742000 Fotografisk virksomhed;;
;743000 Oversættelse og tolkning;;
;749010 Landbrugskonsulenter;;
;749090 Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n.;;
;750000 Dyrlæger;;
;771100 Udlejning og leasing af biler og lette motorkøretøjer;;
;771200 Udlejning og leasing af lastbiler;;
;772100 Udlejning og leasing af varer til fritid og sport;;
;772200 Udlejning af videobånd og videodisks;;
;772900 Udlejning og leasing af andre varer til personlig brug og husholdningsbrug i.a.n.;;
;773100 Udlejning og leasing af landbrugsmaskiner og -udstyr;;
;773200 Udlejning og leasing af entreprenørmateriel;;
;773300 Udlejning af kontormaskiner og -udstyr, computere og it-udstyr;;
;773400 Udlejning og leasing af skibe og både;;
;773500 Udlejning og leasing af luftfartøjer;;
;773900 Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver i.a.n;;
;774000 Leasing af intellektuelle ejendomsrettigheder og lignende, dog ikke ophavsretsbeskyttede værker;;
;781000 Arbejdsformidlingskontorer;;
;782000 Vikarbureauer;;
;783000 Anden personaleformidling;;
;791100 Rejsebureauer;;
;791200 Rejsearrangører;;
;799000 Andre reservationstjenesteydelser og tjenesteydelser i forbindelse hermed;;
;801000 Private vagt- og sikkerhedstjenester;;
;802000 Serviceydelser i forbindelse med sikkerhedssystemer;;
;803000 Overvågning;;
;811000 Kombinerede serviceydelser;;
;812100 Almindelig rengøring i bygninger;;
;812210 Vinduespolering;;
;812220 Skorstensfejning;;
;812290 Anden rengøring af bygninger og rengøring af erhvervslokaler;;
;812900 Andre rengøringsydelser;;
;813000 Landskabspleje;;
;821100 Kombinerede administrationsserviceydelser;;
;821900 Fotokopiering, dokumentbehandling og anden specialiseret kontorservice;;
;822000 Call centres virksomhed;;
;823000 Organisering af kongresser, messer og udstillinger;;
;829100 Inkassovirksomhed og kreditoplysning;;
;829200 Pakkerier;;
;829900 Anden forretningsservice i.a.n.;;
;841100 Generelle offentlige tjenester;;
;841200 Administration af sundhedsvæsen, undervisning, kultur og sociale forhold undtagen social sikring;;
;841300 Administration af og bidrag til erhvervsfremme;;
;842100 Udenrigsanliggender;;
;842200 Forsvar;;
;842300 Domstole og fængselsvæsen;;
;842400 Politi;;
;842500 Brandvæsen;;
;843000 Lovpligtig socialsikring mv.;;
;851000 Førskoleundervisning;;
;852010 Folkeskoler o.lign.;;
;852020 Specialskoler for handicappede;;
;853110 Ungdoms- og efterskoler;;
;853120 Gymnasier, studenter- og HF-kurser;;
;853200 Tekniske skoler og fagskoler;;
;854100 Videregående uddannelser ikke på universitetsniveau;;
;854200 Videregående uddannelser på universitetsniveau;;
;855100 Undervisning inden for sport og fritid;;
;855200 Undervisning i kulturelle discipliner;;
;855300 Køreskoler;;
;855900 Anden undervisning i.a.n.;;
;856000 Hjælpeydelser i forbindelse med undervisning;;
;861000 Hospitaler;;
;862100 Alment praktiserende læger;;
;862200 Praktiserende speciallæger;;
;862300 Praktiserende tandlæger;;
;869010 Sundhedspleje, hjemmesygepleje og jordemødre mv.;;
;869020 Fysio- og ergoterapeuter;;
;869030 Psykologisk rådgivning;;
;869040 Kiropraktorer;;
;869090 Sundhedsvæsen i øvrigt i.a.n.;;
;871010 Plejehjem;;
;871020 Institutionsophold med sygepleje i.a.n.;;
;872010 Døgninstitutioner for personer med psykiske handicap;;
;872020 Behandlingshjem for stofmisbrugere og alkoholskadede;;
;873010 Døgninstitutioner for personer med fysisk handicap;;
;873020 Almene ældre- og handicapboliger o.l.;;
;879010 Døgninstitutioner for børn og unge;;
;879020 Familiepleje;;
;879090 Andre former for institutionsophold;;
;881010 Hjemmehjælp;;
;881020 Dagcentre mv.;;
;881030 Revalideringsinstitutioner;;
;889110 Dagplejemødre;;
;889120 Vuggestuer;;
;889130 Børnehaver;;
;889140 Skolefritidsordninger og fritidshjem;;
;889150 Aldersintegrerede institutioner;;
;889160 Fritids- og ungdomsklubber;;
;889910 Foreninger, legater og fonde med sygdomsbekæmpende, sociale og velgørende formål;;
;889920 Flygtninge- og asylcentre;;
;889990 Andre sociale foranstaltninger uden institutionsophold i.a.n.;;
;900110 Teater- og koncertvirksomhed;;
;900120 Selvstændigt udøvende scenekunstnere;;
;900200 Hjælpeaktiviteter i forbindelse med scenekunst;;
;900300 Kunstnerisk skaben;;
;900400 Drift af teater- og koncertsale, kulturhuse mv.;;
;910110 Biblioteker;;
;910120 Arkiver;;
;910200 Museer;;
;910300 Historiske monumenter og bygninger og lignende attraktioner;;
;910400 Botaniske og zoologiske haver samt naturreservater;;
;920000 Lotteri- og anden spillevirksomhed;;
;931100 Drift af sportsanlæg;;
;931200 Sportsklubber;;
;931300 Fitnesscentre;;
;931900 Andre sportsaktiviteter;;
;932100 Forlystelsesparker o.l.;;
;932910 Lystbådehavne;;
;932990 Andre forlystelser og fritidsaktiviteter;;
;941100 Erhvervs- og arbejdsgiverorganisationer;;
;941200 Faglige sammenslutninger;;
;942000 Fagforeninger;;
;949100 Religiøse institutioner og foreninger;;
;949200 Politiske partier;;
;949900 Andre organisationer og foreninger i.a.n.;;
;951100 Reparation af computere og ydre enheder;;
;951200 Reparation af kommunikationsudstyr;;
;952100 Reparation af forbrugerelektronik;;
;952200 Reparation af husholdningsapparater og redskaber til hus og have;;
;952300 Reparation af skotøj og lædervarer;;
;952400 Reparation af møbler og boligudstyr;;
;952500 Reparation af ure, smykker og guld- og sølvvarer;;
;952900 Reparation af andre varer til personligt brug og husholdningsbrug;;
;960110 Erhvervs- og institutionsvaskerier;;
;960120 Renserier, selvbetjeningsvaskerier mv.;;
;960210 Frisørsaloner;;
;960220 Skønheds- og hudpleje;;
;960300 Bedemænd og begravelsesvæsen;;
;960400 Aktiviteter vedrørende fysisk velvære;;
;960900 Andre personlige serviceydelser i.a.n.;;
;970000 Husholdninger med ansat medhjælp;;
;981000 Private husholdningers produktion af varer til eget brug, i.a.n.;;
;982000 Private husholdningers produktion af tjenesteydelser til eget brug, i.a.n.;;
;990000 Eksterritoriale organisationer og organer;;
;999999 Uoplyst aktivitet;;
