Table_name;code:  BRANCHE07;code: tid;code: TAL
;464310 Engroshandel med hårde hvidevarer;;
;464320 Engroshandel med radio og tv mv.;;
;464330 Engroshandel med indspillede videoer, cder, dvder mv.;;
;464340 Engroshandel med fotografiske og optiske artikler;;
;464350 Engroshandel med elektriske husholdningsartikler;;
;464410 Engroshandel med porcelæns- og glasvarer;;
;464420 Engroshandel med rengøringsmidler;;
;464500 Engroshandel med parfumerivarer og kosmetik;;
;464610 Engroshandel med medicinalvarer og sygeplejeartikler;;
;464620 Engroshandel med læge- og hospitalsartikler;;
;464700 Engroshandel med møbler, tæpper og belysningsartikler;;
;464800 Engroshandel med ure, smykker og guld- og sølvvarer;;
;464910 Engroshandel med cykler, sportsartikler og lystbåde;;
;464920 Engroshandel med bøger, papir og papirvarer;;
;464930 Engroshandel med kufferter og lædervarer;;
;464990 Engroshandel med andre husholdningsartikler;;
;465100 Engroshandel med computere, ydre enheder og software;;
;465210 Engroshandel med elektronisk udstyr;;
;465220 Engroshandel med telekommunikationsudstyr;;
;466100 Engroshandel med landbrugsmaskiner, -udstyr og tilbehør hertil;;
;466200 Engroshandel med værktøjsmaskiner;;
;466300 Engroshandel med maskiner til minedrift og bygge- og anlægsvirksomhed;;
;466400 Engroshandel med maskiner, udstyr og tilbehør til tekstilindustrien;;
;466500 Engroshandel med kontormøbler;;
;466600 Engroshandel med andre kontormaskiner og andet kontorudstyr;;
;466900 Engroshandel med andre maskiner og andet udstyr;;
;467100 Engroshandel med fast, flydende og luftformigt brændstof og lignende varer;;
;467200 Engroshandel med metaller og metalmalme;;
;467310 Engroshandel med træ, trælast og byggematerialer;;
;467320 Engroshandel med lak, maling, tapet, gulvbelægning mv.;;
;467400 Engroshandel med isenkram, varmeanlæg og tilbehør;;
;467500 Engroshandel med kemiske produkter;;
;467600 Engroshandel med andre råvarer og halvfabrikata;;
;467700 Engroshandel med affaldsprodukter;;
;469000 Ikke-specialiseret engroshandel;;
;471110 Købmænd og døgnkiosker;;
;471120 Supermarkeder;;
;471130 Discountforretninger;;
;471900 Anden detailhandel fra ikke-specialiserede forretninger;;
;472100 Frugt- og grøntforretninger;;
;472200 Slagter- og viktualieforretninger;;
;472300 Fiskeforretninger;;
;472400 Detailhandel med brød, konditori- og sukkervarer;;
;472500 Detailhandel med drikkevarer;;
;472600 Tobaksforretninger;;
;472900 Anden detailhandel med fødevarer i specialforretninger;;
;473000 Servicestationer;;
;474100 Detailhandel med computere, ydre enheder og software;;
;474200 Detailhandel med telekommunikationsudstyr;;
;474300 Radio- og tv-forretninger;;
;475100 Detailhandel med kjolestoffer, garn, broderier mv.;;
;475210 Farve- og tapetforretninger;;
;475220 Byggemarkeder og værktøjsmagasiner;;
;475300 Detailhandel med tæpper, vægbeklædning og gulvbelægning;;
